,SV.,SS.,SM.,OA.,V.,ND.,LC.,U.,8N.,Pokémon,,Format,Index
,-,-,1,-,-,-,-,-,-,Metapod (Z),,,
,-,1,1,1,-,1,-,1,1,Butterfree,,,
,-,-,-,-,-,-,-,-,-,Butterfree (T),,,
,-,-,1,-,-,-,-,-,-,Butterfree (Z),,,
,-,-,1,1,-,1,1,1,1,Weedle,,,
,-,-,-,-,-,-,-,-,-,Weedle (T),,,
,-,-,1,-,-,-,-,-,-,Weedle (Z),,,
,-,-,1,1,-,1,-,1,1,Kakuna,,,
,-,-,-,-,-,-,-,-,-,Kakuna (T),,,
,-,-,1,-,-,-,-,-,-,Kakuna (Z),,,
,-,-,1,1,-,1,-,1,1,Beedrill,,,
,-,-,-,-,-,-,-,-,-,Beedrill (T),,,
,-,-,1,-,-,-,-,-,-,Beedrill (Z),,,
,-,-,10,7,-,11,-,8,11,Mega Beedrill,,,
,-,-,1,1,-,1,3,1,1,Pidgey,,,
,-,-,-,-,-,-,-,-,-,Pidgey (T),,,
,-,-,1,-,-,-,-,-,-,Pidgey (Z),,,
,-,-,1,1,-,1,-,1,1,Pidgeotto,,,
,-,-,-,-,-,-,-,-,-,Pidgeotto (T),,,
,-,-,1,-,-,-,-,-,-,Pidgeotto (Z),,,
,-,-,1,1,-,1,-,1,1,Pidgeot,,,
,-,-,-,-,-,-,-,-,-,Pidgeot (T),,,
,-,-,1,-,-,-,-,-,-,Pidgeot (Z),,,
,-,-,12,8,-,11,-,6,12,Mega Pidgeot,,,
,-,-,1,1,-,1,7,1,1,Rattata,,,
,-,-,-,-,-,-,-,-,-,Rattata (T),,,
,-,-,1,-,-,-,-,-,-,Rattata (Z),,,
,-,-,1,-,-,1,9,1,1,Alolan Rattata,,,
,-,-,-,-,-,-,-,-,-,Alolan Rattata (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Rattata (Z),,,
,-,-,1,2,-,1,-,1,1,Raticate,,,
,-,-,-,-,-,-,-,-,-,Raticate (T),,,
,-,-,1,-,-,-,-,-,-,Raticate (Z),,,
,-,-,1,-,-,2,-,1,2,Alolan Raticate,,,
,-,-,-,-,-,-,-,-,-,Alolan Raticate (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Raticate (Z),,,
,-,-,1,1,-,1,6,1,1,Spearow,,,
,-,-,-,-,-,-,-,-,-,Spearow (T),,,
,-,-,1,-,-,-,-,-,-,Spearow (Z),,,
,-,-,1,1,-,1,-,1,1,Fearow,,,
,-,-,-,-,-,-,-,-,-,Fearow (T),,,
,-,-,1,-,-,-,-,-,-,Fearow (Z),,,
,1,-,1,1,1,1,7,1,1,Ekans,,,
,1,-,-,-,-,-,-,-,-,Ekans (T),,,
,-,-,1,-,-,-,-,-,-,Ekans (Z),,,
,2,-,1,1,2,1,-,1,1,Arbok,,,
,2,-,-,-,-,-,-,-,-,Arbok (T),,,
,-,-,1,-,-,-,-,-,-,Arbok (Z),,,
,1,1,1,1,2,1,-,1,1,Pikachu,,,
,1,-,-,-,-,-,-,-,-,Pikachu (T),,,
,-,-,-,-,-,-,-,-,99,Pikachu-Cosplay,,,
,-,-,-,-,-,-,-,-,-,Pikachu-Cosplay (T),,,
,-,-,-,-,-,-,-,-,99,Pikachu-Starter,,,
,-,-,-,-,-,-,-,-,-,Pikachu-Starter (T),,,
,-,-,1,-,-,-,-,-,-,Pikachu (Z),,,
,-,-,1,-,-,-,-,-,-,Pikachu-Cosplay (Z),,,
,-,-,1,-,-,-,-,-,-,Pikachu-Starter (Z),,,
,2,3,3,3,7,3,-,4,2,Raichu,,,
,2,-,-,-,-,-,-,-,-,Raichu (T),,,
,-,-,3,-,-,-,-,-,-,Raichu (Z),,,
,3,3,4,-,3,4,-,4,5,Alolan Raichu,,,
,3,-,-,-,-,-,-,-,-,Alolan Raichu (T),,,
,-,-,4,-,-,-,-,-,-,Alolan Raichu (Z),,,
,1,1,1,1,1,1,10,1,1,Sandshrew,,,
,1,-,-,-,-,-,-,-,-,Sandshrew (T),,,
,-,-,1,-,-,-,-,-,-,Sandshrew (Z),,,
,1,1,1,-,1,1,12,1,1,Alolan Sandshrew,,,
,1,-,-,-,-,-,-,-,-,Alolan Sandshrew (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Sandshrew (Z),,,
,1,2,2,2,3,2,-,2,3,Sandslash,,,
,1,-,-,-,-,-,-,-,-,Sandslash (T),,,
,-,-,2,-,-,-,-,-,-,Sandslash (Z),,,
,2,2,2,-,3,2,-,3,2,Alolan Sandslash,,,
,2,-,-,-,-,-,-,-,-,Alolan Sandslash (T),,,
,-,-,2,-,-,-,-,-,-,Alolan Sandslash (Z),,,
,-,1,1,1,-,1,2,1,1,Nidoran-Female,,,
,-,-,-,-,-,-,-,-,-,Nidoran-Female (T),,,
,-,-,1,-,-,-,-,-,-,Nidoran-Female (Z),,,
,-,1,1,1,-,1,-,1,1,Nidorina,,,
,-,-,-,-,-,-,-,-,-,Nidorina (T),,,
,-,-,1,-,-,-,-,-,-,Nidorina (Z),,,
,-,13,13,13,-,13,-,13,12,Nidoqueen,,,
,-,-,-,-,-,-,-,-,-,Nidoqueen (T),,,
,-,-,13,-,-,-,-,-,-,Nidoqueen (Z),,,
,-,1,1,1,-,1,2,1,1,Nidoran-Male,,,
,-,-,-,-,-,-,-,-,-,Nidoran-Male (T),,,
,-,-,1,-,-,-,-,-,-,Nidoran-Male (Z),,,
,-,1,1,1,-,1,-,1,1,Nidorino,,,
,-,-,-,-,-,-,-,-,-,Nidorino (T),,,
,-,-,1,-,-,-,-,-,-,Nidorino (Z),,,
,-,14,14,13,-,13,-,13,13,Nidoking,,,
,-,-,-,-,-,-,-,-,-,Nidoking (T),,,
,-,-,14,-,-,-,-,-,-,Nidoking (Z),,,
,1,2,4,3,14,1,-,2,5,Clefairy,,,
,1,-,-,-,-,-,-,-,-,Clefairy (T),,,
,-,-,4,-,-,-,-,-,-,Clefairy (Z),,,
,11,14,13,17,14,13,-,16,17,Clefable,,,
,11,-,-,-,-,-,-,-,-,Clefable (T),,,
,-,-,13,-,-,-,-,-,-,Clefable (Z),,,
,1,1,1,1,1,1,13,1,1,Vulpix,,,
,1,-,-,-,-,-,-,-,-,Vulpix (T),,,
,-,-,1,-,-,-,-,-,-,Vulpix (Z),,,
,1,1,1,-,1,1,11,1,1,Alolan Vulpix,,,
,1,-,-,-,-,-,-,-,-,Alolan Vulpix (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Vulpix (Z),,,
,8,3,3,4,8,8,-,4,4,Ninetales,,,
,8,-,-,-,-,-,-,-,-,Ninetales (T),,,
,-,-,3,-,-,-,-,-,-,Ninetales (Z),,,
,8,7,7,-,13,8,-,11,10,Alolan Ninetales,,,
,8,-,-,-,-,-,-,-,-,Alolan Ninetales (T),,,
,-,-,7,-,-,-,-,-,-,Alolan Ninetales (Z),,,
,1,1,1,1,1,1,-,1,1,Jigglypuff,,,
,1,-,-,-,-,-,-,-,-,Jigglypuff (T),,,
,-,-,1,-,-,-,-,-,-,Jigglypuff (Z),,,
,1,1,1,1,2,1,-,1,2,Wigglytuff,,,
,1,-,-,-,-,-,-,-,-,Wigglytuff (T),,,
,-,-,1,-,-,-,-,-,-,Wigglytuff (Z),,,
,-,1,1,1,-,1,5,1,1,Zubat,,,
,-,-,-,-,-,-,-,-,-,Zubat (T),,,
,-,-,1,-,-,-,-,-,-,Zubat (Z),,,
,-,2,2,4,-,2,-,3,2,Golbat,,,
,-,-,-,-,-,-,-,-,-,Golbat (T),,,
,-,-,2,-,-,-,-,-,-,Golbat (Z),,,
,1,1,1,1,1,1,9,1,1,Oddish,,,
,1,-,-,-,-,-,-,-,-,Oddish (T),,,
,-,-,1,-,-,-,-,-,-,Oddish (Z),,,
,1,1,1,1,1,1,-,1,1,Gloom,,,
,1,-,-,-,-,-,-,-,-,Gloom (T),,,
,-,-,1,-,-,-,-,-,-,Gloom (Z),,,
,4,5,5,3,5,5,-,5,5,Vileplume,,,
,4,-,-,-,-,-,-,-,-,Vileplume (T),,,
,-,-,5,-,-,-,-,-,-,Vileplume (Z),,,
,-,-,1,1,-,1,6,1,1,Paras,,,
,-,-,-,-,-,-,-,-,-,Paras (T),,,
,-,-,1,-,-,-,-,-,-,Paras (Z),,,
,-,-,1,1,-,1,-,1,1,Parasect,,,
,-,-,-,-,-,-,-,-,-,Parasect (T),,,
,-,-,1,-,-,-,-,-,-,Parasect (Z),,,
,1,-,1,1,1,1,4,1,1,Venonat,,,
,1,-,-,-,-,-,-,-,-,Venonat (T),,,
,-,-,1,-,-,-,-,-,-,Venonat (Z),,,
,3,-,4,6,5,5,-,6,6,Venomoth,,,
,3,-,-,-,-,-,-,-,-,Venomoth (T),,,
,-,-,4,-,-,-,-,-,-,Venomoth (Z),,,
,1,1,1,1,1,1,13,1,1,Diglett,,,
,1,-,-,-,-,-,-,-,-,Diglett (T),,,
,-,-,1,-,-,-,-,-,-,Diglett (Z),,,
,1,1,1,-,1,1,9,1,1,Alolan Diglett,,,
,1,-,-,-,-,-,-,-,-,Alolan Diglett (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Diglett (Z),,,
,7,6,8,10,3,9,-,10,10,Dugtrio,,,
,7,-,-,-,-,-,-,-,-,Dugtrio (T),,,
,-,-,8,-,-,-,-,-,-,Dugtrio (Z),,,
,1,1,1,-,2,1,-,1,2,Alolan Dugtrio,,,
,1,-,-,-,-,-,-,-,-,Alolan Dugtrio (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Dugtrio (Z),,,
,1,1,1,1,1,1,12,1,1,Meowth,,,
,1,-,-,-,-,-,-,-,-,Meowth (T),,,
,-,-,1,-,-,-,-,-,-,Meowth (Z),,,
,1,1,1,-,1,1,8,1,1,Alolan Meowth,,,
,1,-,-,-,-,-,-,-,-,Alolan Meowth (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Meowth (Z),,,
,1,1,-,-,1,1,8,1,1,Galarian Meowth,,,
,1,-,-,-,-,-,-,-,-,Galarian Meowth (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Meowth (Z),,,
,1,1,1,2,3,1,-,1,1,Persian,,,
,1,-,-,-,-,-,-,-,-,Persian (T),,,
,-,-,1,-,-,-,-,-,-,Persian (Z),,,
,4,6,6,-,9,4,-,5,7,Alolan Persian,,,
,4,-,-,-,-,-,-,-,-,Alolan Persian (T),,,
,-,-,6,-,-,-,-,-,-,Alolan Persian (Z),,,
,1,1,1,1,1,1,5,1,1,Psyduck,,,
,1,-,-,-,-,-,-,-,-,Psyduck (T),,,
,-,-,1,-,-,-,-,-,-,Psyduck (Z),,,
,1,1,1,1,3,1,-,1,2,Golduck,,,
,1,-,-,-,-,-,-,-,-,Golduck (T),,,
,-,-,1,-,-,-,-,-,-,Golduck (Z),,,
,1,-,1,1,1,1,10,1,1,Mankey,,,
,1,-,-,-,-,-,-,-,-,Mankey (T),,,
,-,-,1,-,-,-,-,-,-,Mankey (Z),,,
,2,-,2,3,4,2,-,4,3,Primeape,,,
,2,-,-,-,-,-,-,-,-,Primeape (T),,,
,-,-,2,-,-,-,-,-,-,Primeape (Z),,,
,1,1,1,1,1,1,8,1,1,Growlithe,,,
,1,-,-,-,-,-,-,-,-,Growlithe (T),,,
,-,-,1,-,-,-,-,-,-,Growlithe (Z),,,
,1,-,-,-,1,1,11,1,,Hisuian Growlithe,,,
,1,-,-,-,-,-,-,-,-,Hisuian Growlithe (T),,,
,-,-,-,-,-,-,-,-,-,Hisuian Growlithe (Z),,,
,7,9,8,8,12,8,-,13,11,Arcanine,,,
,7,-,-,-,-,-,-,-,-,Arcanine (T),,,
,-,-,8,-,-,-,-,-,-,Arcanine (Z),,,
,10,-,-,-,13,11,-,9,,Hisuian Arcanine,,,
,11,-,-,-,-,-,-,-,-,Hisuian Arcanine (T),,,
,-,-,-,-,-,-,-,-,-,Hisuian Arcanine (Z),,,
,1,1,1,1,1,1,6,1,1,Poliwag,,,
,1,-,-,-,-,-,-,-,-,Poliwag (T),,,
,-,-,1,-,-,-,-,-,-,Poliwag (Z),,,
,1,1,1,1,1,1,-,1,1,Poliwhirl,,,
,1,-,-,-,-,-,-,-,-,Poliwhirl (T),,,
,-,-,1,-,-,-,-,-,-,Poliwhirl (Z),,,
,3,2,3,3,3,2,-,5,4,Poliwrath,,,
,3,-,-,-,-,-,-,-,-,Poliwrath (T),,,
,-,-,3,-,-,-,-,-,-,Poliwrath (Z),,,
,-,1,1,1,-,1,14,1,1,Abra,,,
,-,-,-,-,-,-,-,-,-,Abra (T),,,
,-,-,1,-,-,-,-,-,-,Abra (Z),,,
,-,1,1,1,-,1,-,1,1,Kadabra,,,
,-,-,-,-,-,-,-,-,-,Kadabra (T),,,
,-,-,1,-,-,-,-,-,-,Kadabra (Z),,,
,-,7,8,8,-,8,-,8,10,Alakazam,,,
,-,-,-,-,-,-,-,-,-,Alakazam (T),,,
,-,-,8,-,-,-,-,-,-,Alakazam (Z),,,
,-,-,99,99,-,99,-,15,99,Mega Alakazam,,,
,-,1,1,1,-,1,8,1,1,Machop,,,
,-,-,-,-,-,-,-,-,-,Machop (T),,,
,-,-,1,-,-,-,-,-,-,Machop (Z),,,
,-,1,1,1,-,1,-,1,1,Machoke,,,
,-,-,-,-,-,-,-,-,-,Machoke (T),,,
,-,-,1,-,-,-,-,-,-,Machoke (Z),,,
,-,5,4,4,-,4,-,4,6,Machamp,,,
,-,-,-,-,-,-,-,-,-,Machamp (T),,,
,-,-,4,-,-,-,-,-,-,Machamp (Z),,,
,1,-,1,1,1,1,8,1,1,Bellsprout,,,
,1,-,-,-,-,-,-,-,-,Bellsprout (T),,,
,-,-,1,-,-,-,-,-,-,Bellsprout (Z),,,
,1,-,1,1,1,1,-,1,1,Weepinbell,,,
,1,-,-,-,-,-,-,-,-,Weepinbell (T),,,
,-,-,1,-,-,-,-,-,-,Weepinbell (Z),,,
,3,-,2,3,4,3,-,4,4,Victreebel,,,
,3,-,-,-,-,-,-,-,-,Victreebel (T),,,
,-,-,2,-,-,-,-,-,-,Victreebel (Z),,,
,1,1,1,1,1,1,9,1,1,Tentacool,,,
,1,-,-,-,-,-,-,-,-,Tentacool (T),,,
,-,-,1,-,-,-,-,-,-,Tentacool (Z),,,
,9,6,8,9,3,9,-,8,7,Tentacruel,,,
,9,-,-,-,-,-,-,-,-,Tentacruel (T),,,
,-,-,8,-,-,-,-,-,-,Tentacruel (Z),,,
,1,-,1,1,1,1,8,1,1,Geodude,,,
,1,-,-,-,-,-,-,-,-,Geodude (T),,,
,-,-,1,-,-,-,-,-,-,Geodude (Z),,,
,1,-,1,-,1,1,7,1,1,Alolan Geodude,,,
,1,-,-,-,-,-,-,-,-,Alolan Geodude (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Geodude (Z),,,
,1,-,1,1,1,1,-,1,1,Graveler,,,
,1,-,-,-,-,-,-,-,-,Graveler (T),,,
,-,-,1,-,-,-,-,-,-,Graveler (Z),,,
,1,-,1,-,1,1,-,1,1,Alolan Graveler,,,
,1,-,-,-,-,-,-,-,-,Alolan Graveler (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Graveler (Z),,,
,1,-,1,1,1,1,-,1,1,Golem,,,
,1,-,-,-,-,-,-,-,-,Golem (T),,,
,-,-,1,-,-,-,-,-,-,Golem (Z),,,
,1,-,2,-,2,1,-,2,2,Alolan Golem,,,
,1,-,-,-,-,-,-,-,-,Alolan Golem (T),,,
,-,-,2,-,-,-,-,-,-,Alolan Golem (Z),,,
,-,1,1,1,-,1,15,1,1,Ponyta,,,
,-,-,-,-,-,-,-,-,-,Ponyta (T),,,
,-,-,1,-,-,-,-,-,-,Ponyta (Z),,,
,-,1,-,-,-,1,14,1,1,Galarian Ponyta,,,
,-,-,-,-,-,-,-,-,-,Galarian Ponyta (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Ponyta (Z),,,
,-,2,2,3,-,1,-,1,3,Rapidash,,,
,-,-,-,-,-,-,-,-,-,Rapidash (T),,,
,-,-,2,-,-,-,-,-,-,Rapidash (Z),,,
,-,1,-,-,-,1,-,4,2,Galarian Rapidash,,,
,-,-,-,-,-,-,-,-,-,Galarian Rapidash (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Rapidash (Z),,,
,1,1,1,1,1,1,11,1,1,Slowpoke,,,
,1,-,-,-,-,-,-,-,-,Slowpoke (T),,,
,-,-,1,-,-,-,-,-,-,Slowpoke (Z),,,
,1,1,-,-,-,1,7,1,1,Galarian Slowpoke,,,
,1,-,-,-,-,-,-,-,-,Galarian Slowpoke (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Slowpoke (Z),,,
,6,15,9,10,8,15,-,16,15,Slowbro,,,
,6,-,-,-,-,-,-,-,-,Slowbro (T),,,
,-,-,9,-,-,-,-,-,-,Slowbro (Z),,,
,5,5,-,-,9,6,-,8,11,Galarian Slowbro,,,
,5,-,-,-,-,-,-,-,-,Galarian Slowbro (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Slowbro (Z),,,
,-,-,8,8,-,10,-,12,14,Mega Slowbro,,,
,1,1,1,1,1,1,12,1,1,Magnemite,,,
,1,-,-,-,-,-,-,-,-,Magnemite (T),,,
,-,-,1,-,-,-,-,-,-,Magnemite (Z),,,
,2,3,3,5,2,3,-,6,5,Magneton,,,
,2,-,-,-,-,-,-,-,-,Magneton (T),,,
,-,-,3,-,-,-,-,-,-,Magneton (Z),,,
,-,1,1,-,-,1,-,1,1,Farfetch'd,,,
,-,-,-,-,-,-,-,-,-,Farfetch'd (T),,,
,-,-,1,-,-,-,-,-,-,Farfetch'd (Z),,,
,-,1,-,-,-,1,13,1,1,Galarian Farfetch'd,,,
,-,-,-,-,-,-,-,-,-,Galarian Farfetch'd (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Farfetch'd (Z),,,
,1,-,1,1,1,1,11,1,1,Doduo,,,
,1,-,-,-,-,-,-,-,-,Doduo (T),,,
,-,-,1,-,-,-,-,-,-,Doduo (Z),,,
,1,-,3,2,3,1,-,2,2,Dodrio,,,
,1,-,-,-,-,-,-,-,-,Dodrio (T),,,
,-,-,3,-,-,-,-,-,-,Dodrio (Z),,,
,1,-,1,1,1,1,6,1,1,Seel,,,
,1,-,-,-,-,-,-,-,-,Seel (T),,,
,-,-,1,-,-,-,-,-,-,Seel (Z),,,
,1,-,1,1,2,1,-,1,1,Dewgong,,,
,1,-,-,-,-,-,-,-,-,Dewgong (T),,,
,-,-,1,-,-,-,-,-,-,Dewgong (Z),,,
,1,-,1,1,1,1,9,1,1,Grimer,,,
,1,-,-,-,-,-,-,-,-,Grimer (T),,,
,-,-,1,-,-,-,-,-,-,Grimer (Z),,,
,1,-,1,-,-,1,10,1,1,Alolan Grimer,,,
,1,-,-,-,-,-,-,-,-,Alolan Grimer (T),,,
,-,-,1,-,-,-,-,-,-,Alolan Grimer (Z),,,
,5,-,3,3,2,5,-,2,2,Muk,,,
,5,-,-,-,-,-,-,-,-,Muk (T),,,
,-,-,3,-,-,-,-,-,-,Muk (Z),,,
,6,-,12,-,6,9,-,14,11,Alolan Muk,,,
,6,-,-,-,-,-,-,-,-,Alolan Muk (T),,,
,-,-,12,-,-,-,-,-,-,Alolan Muk (Z),,,
,1,1,1,1,1,1,11,1,1,Shellder,,,
,1,-,-,-,-,-,-,-,-,Shellder (T),,,
,-,-,1,-,-,-,-,-,-,Shellder (Z),,,
,6,5,7,7,3,6,-,8,7,Cloyster,,,
,6,-,-,-,-,-,-,-,-,Cloyster (T),,,
,-,-,7,-,-,-,-,-,-,Cloyster (Z),,,
,1,1,1,1,1,1,15,1,1,Gastly,,,
,1,-,-,-,-,-,-,-,-,Gastly (T),,,
,-,-,1,-,-,-,-,-,-,Gastly (Z),,,
,1,1,1,1,2,2,-,1,2,Haunter,,,
,1,-,-,-,-,-,-,-,-,Haunter (T),,,
,-,-,1,-,-,-,-,-,-,Haunter (Z),,,
,9,8,10,10,6,9,-,11,13,Gengar,,,
,9,-,-,-,-,-,-,-,-,Gengar (T),,,
,-,-,10,-,-,-,-,-,-,Gengar (Z),,,
,-,-,99,99,-,99,-,99,99,Mega Gengar,,,
,-,1,1,1,-,1,11,1,1,Onix,,,
,-,-,-,-,-,-,-,-,-,Onix (T),,,
,-,-,1,-,-,-,-,-,-,Onix (Z),,,
,1,-,1,1,1,1,6,1,1,Drowzee,,,
,1,-,-,-,-,-,-,-,-,Drowzee (T),,,
,-,-,1,-,-,-,-,-,-,Drowzee (Z),,,
,1,-,1,1,2,1,-,1,1,Hypno,,,
,1,-,-,-,-,-,-,-,-,Hypno (T),,,
,-,-,1,-,-,-,-,-,-,Hypno (Z),,,
,-,1,1,1,-,1,7,1,1,Krabby,,,
,-,-,-,-,-,-,-,-,-,Krabby (T),,,
,-,-,1,-,-,-,-,-,-,Krabby (Z),,,
,-,1,1,2,-,2,-,1,2,Kingler,,,
,-,-,-,-,-,-,-,-,-,Kingler (T),,,
,-,-,1,-,-,-,-,-,-,Kingler (Z),,,
,1,-,1,1,1,1,8,1,1,Voltorb,,,
,1,-,-,-,-,-,-,-,-,Voltorb (T),,,
,-,-,1,-,-,-,-,-,-,Voltorb (Z),,,
,1,-,-,-,1,1,10,1,,Hisuian Voltorb,,,
,1,-,-,-,-,-,-,-,-,Hisuian Voltorb (T),,,
,-,-,-,-,-,-,-,-,-,Hisuian Voltorb (Z),,,
,1,-,2,2,3,2,-,2,2,Electrode,,,
,1,-,-,-,-,-,-,-,-,Electrode (T),,,
,-,-,2,-,-,-,-,-,-,Electrode (Z),,,
,5,-,-,-,4,5,-,4,,Hisuian Electrode,,,
,6,-,-,-,-,-,-,-,-,Hisuian Electrode (T),,,
,-,-,-,-,-,-,-,-,-,Hisuian Electrode (Z),,,
,1,1,1,1,1,1,5,1,1,Exeggcute,,,
,1,-,-,-,-,-,-,-,-,Exeggcute (T),,,
,-,-,1,-,-,-,-,-,-,Exeggcute (Z),,,
,1,1,1,1,3,1,-,1,2,Exeggutor,,,
,1,-,-,-,-,-,-,-,-,Exeggutor (T),,,
,-,-,1,-,-,-,-,-,-,Exeggutor (Z),,,
,2,2,3,-,3,2,-,1,2,Alolan Exeggutor,,,
,2,-,-,-,-,-,-,-,-,Alolan Exeggutor (T),,,
,-,-,3,-,-,-,-,-,-,Alolan Exeggutor (Z),,,
,-,1,1,1,-,1,6,1,1,Cubone,,,
,-,-,-,-,-,-,-,-,-,Cubone (T),,,
,-,-,1,-,-,-,-,-,-,Cubone (Z),,,
,-,1,1,2,-,1,-,2,1,Marowak,,,
,-,-,-,-,-,-,-,-,-,Marowak (T),,,
,-,-,1,-,-,-,-,-,-,Marowak (Z),,,
,-,3,4,-,-,4,-,6,5,Alolan Marowak,,,
,-,-,-,-,-,-,-,-,-,Alolan Marowak (T),,,
,-,-,4,-,-,-,-,-,-,Alolan Marowak (Z),,,
,4,5,3,5,6,5,-,7,6,Hitmonlee,,,
,4,-,-,-,-,-,-,-,-,Hitmonlee (T),,,
,-,-,3,-,-,-,-,-,-,Hitmonlee (Z),,,
,2,2,3,3,3,3,-,2,2,Hitmonchan,,,
,2,-,-,-,-,-,-,-,-,Hitmonchan (T),,,
,-,-,3,-,-,-,-,-,-,Hitmonchan (Z),,,
,-,1,1,1,-,1,9,2,1,Lickitung,,,
,-,-,-,-,-,-,-,-,-,Lickitung (T),,,
,-,-,1,-,-,-,-,-,-,Lickitung (Z),,,
,1,1,1,1,1,1,11,1,1,Koffing,,,
,1,-,-,-,-,-,-,-,-,Koffing (T),,,
,-,-,1,-,-,-,-,-,-,Koffing (Z),,,
,5,5,5,6,8,5,-,7,6,Weezing,,,
,5,-,-,-,-,-,-,-,-,Weezing (T),,,
,-,-,5,-,-,-,-,-,-,Weezing (Z),,,
,9,7,-,-,9,10,-,11,9,Galarian Weezing,,,
,9,-,-,-,-,-,-,-,-,Galarian Weezing (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Weezing (Z),,,
,1,1,1,1,1,1,5,1,1,Rhyhorn,,,
,1,-,-,-,-,-,-,-,-,Rhyhorn (T),,,
,-,-,1,-,-,-,-,-,-,Rhyhorn (Z),,,
,3,3,2,4,4,2,-,3,4,Rhydon,,,
,3,-,-,-,-,-,-,-,-,Rhydon (T),,,
,-,-,2,-,-,-,-,-,-,Rhydon (Z),,,
,3,4,4,5,2,4,-,11,8,Chansey,,,
,3,-,-,-,-,-,-,-,-,Chansey (T),,,
,-,-,4,-,-,-,-,-,-,Chansey (Z),,,
,-,4,5,4,-,4,99,3,5,Tangela,,,
,-,-,-,-,-,-,-,-,-,Tangela (T),,,
,-,-,5,-,-,-,-,-,-,Tangela (Z),,,
,-,2,3,3,-,2,-,4,3,Kangaskhan,,,
,-,-,-,-,-,-,-,-,-,Kangaskhan (T),,,
,-,-,3,-,-,-,-,-,-,Kangaskhan (Z),,,
,-,-,9,99,-,99,-,21,11,Mega Kangaskhan,,,
,-,1,1,1,1,1,4,1,1,Horsea,,,
,-,-,-,-,-,-,-,-,-,Horsea (T),,,
,-,-,1,-,-,-,-,-,-,Horsea (Z),,,
,-,1,1,1,1,1,-,1,1,Seadra,,,
,-,-,-,-,-,-,-,-,-,Seadra (T),,,
,-,-,1,-,-,-,-,-,-,Seadra (Z),,,
,-,1,1,1,-,1,9,1,1,Goldeen,,,
,-,-,-,-,-,-,-,-,-,Goldeen (T),,,
