,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Arceus-Flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapu Koko,,,Zeraora,,,Sneasler,,,Mega Garchomp,,,Iron Moth,,,Latias,,,Manaphy,,,Klefki,,,Galarian Moltres,,,Gardevoir,,,Garganacl,,,Dudunsparce,,,Celebi,,,Dhelmise,,,Cinccino,,,Copperajah,,,Barbaracle,,,Alolan Graveler
,,,,,Arceus-Ghost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terapagos,,,Mega Lopunny,,,Mega Gardevoir,,,Mega Charizard Y,,,Mega Heracross,,,Mega Altaria,,,Galarian Weezing,,,Gengar,,,Haxorus,,,Enamorus-Therian,,,Cloyster,,,Eelektross,,,Crawdaunt,,,Crustle,,,Boltund,,,Alolan Grimer
,,,,,Arceus-Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ting-Lu,,,Melmetal,,,Raging Bolt,,,Nidoking,,,Mega Tyranitar,,,Mega Beedrill,,,Lycanroc-Dusk,,,Hisuian Goodra,,,Mega Aggron,,,Fezandipiti,,,Darmanitan,,,Feraligatr,,,Drednaw,,,Cryogonal,,,Bruxish,,,Alolan Meowth
,,,,,Arceus-Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zapdos,,,Ogerpon-Wellspring,,,Rillaboom,,,Nidoqueen,,,Metagross,,,Mega Gyarados,,,Mega Sableye,,,Hisuian Zoroark,,,Mega Pinsir,,,Florges,,,Espathra,,,Flygon,,,Drifblim,,,Ditto,,,Carracosta,,,Alolan Rattata
,,,,,Arceus-Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slowbro,,,Rotom-Wash,,,Quaquaval,,,Nihilego,,,Mega Pidgeot,,,Mega Sharpedo,,,Hoopa-Unbound,,,Milotic,,,Gallade,,,Forretress,,,Gligar,,,Druddigon,,,Doublade,,,Centiskorch,,,Alolan Sandshrew
,,,,,Arceus-Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapu Fini,,,Scizor,,,Zarude,,,Ogerpon-Cornerstone,,,Mega Swampert,,,Mega Slowbro,,,Hydrapple,,,Ninetales,,,Gigalith,,,Galarian Slowbro,,,Hariyama,,,Emboar,,,Drampa,,,Coalossal,,,Alolan Vulpix
,,,,,Arceus-Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urshifu-Single-Strike,,,Tapu Lele,,,Zygarde,,,Pecharunt,,,Mega Venusaur,,,Mienshao,,,Infernape,,,Noivern,,,Goodra,,,Gastrodon,,,Hisuian Electrode,,,Escavalier,,,Duraludon,,,Cursola,,,Amaura
,,,,,Arceus-Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victini,,,Ursaluna-Bloodmoon,,,,,,Primarina,,,Ogerpon,,,Raikou,,,Iron Jugulis,,,Pawmot,,,Grimmsnarl,,,Hisuian Qwilfish,,,Hitmonlee,,,Espeon,,,Durant,,,Dachsbun,,,Ampharos
,,,,,Arceus-Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urshifu-Rapid-Strike,,,,,,Thundurus-Incarnate,,,Ogerpon-Hearthflame,,,Roserade,,,Kommo-o,,,Revavroom,,,Gyarados,,,Incineroar,,,Inteleon,,,Floatzel,,,Dusknoir,,,Dunsparce,,,Anorith
,,,,,Arceus-Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walking Wake,,,,,,Thundurus-Therian,,,Pelipper,,,Salamence,,,Mamoswine,,,Seismitoad,,,Heracross,,,Iron Leaves,,,Kleavor,,,Froslass,,,Eldegoss,,,Dusclops,,,Applin
,,,,,Calyrex-Ice-Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weavile,,,,,,Togekiss,,,Sandy Shocks,,,Silvally,,,Mandibuzz,,,Shaymin,,,Hippowdon,,,Jellicent,,,Lanturn,,,Galvantula,,,Exploud,,,Electrode,,,Arbok
,,,,,Calyrex-Shadow-Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyranitar,,,Scolipede,,,Skarmory,,,Mesprit,,,Sinistcha,,,Hisuian Braviary,,,Kingdra,,,Lickilicky,,,Garbodor,,,Flamigo,,,Farigiraf,,,Archen
,,,,,Chien-Pao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursaluna,,,Scream Tail,,,Swampert,,,Moltres,,,Skeledirge,,,Kilowattrel,,,Lokix,,,Mudsdale,,,Glastrier,,,Galarian Articuno,,,Flapple,,,Arctibax
,,,,,Deoxys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slowking,,,Tapu Bulu,,,Overqwil,,,Suicune,,,Mega Steelix,,,Lucario,,,Muk,,,Golurk,,,Golisopod,,,Flareon,,,Ariados
,,,,,Deoxys-Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torkoal,,,Terrakion,,,Porygon2,,,Sylveon,,,Meloetta,,,Magnezone,,,Piloswine,,,Gothorita,,,Grafaiai,,,Frosmoth,,,Aron
,,,,,Dialga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uxie,,,Tinkaton,,,Rotom-Heat,,,Tangrowth,,,Mimikyu,,,Mega Sceptile,,,Politoed,,,Gourgeist,,,Guzzlord,,,Galarian Corsola,,,Arrokuda
,,,,,Dialga-Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volcarona,,,Slither Wing,,,,,,Obstagoon,,,Miltank,,,Quagsire,,,Granbull,,,Hisuian Decidueye,,,Golbat,,,Aurorus
,,,,,Dragapult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starmie,,,,,,Okidogi,,,Mismagius,,,Regidrago,,,Heliolisk,,,Hisuian Typhlosion,,,Gorebyss,,,Axew
,,,,,Eternamax Eternatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talonflame,,,,,,Paldean Tauros Aqua,,,Munkidori,,,Rotom,,,Hitmontop,,,Hitmonchan,,,Gurdurr,,,Azurill
,,,,,Eternatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tentacruel,,,,,,Regieleki,,,Paldean Tauros Blaze,,,Sableye,,,Iron Thorns,,,Hoopa,,,Haunter,,,Bagon
,,,,,Flutter Mane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxapex,,,,,,Registeel,,,Porygon-Z,,,Sharpedo,,,Jolteon,,,Houndstone,,,Hisuian Sneasel,,,Baltoy
,,,,,Genesect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volcanion,,,,,,Reuniclus,,,Qwilfish,,,Slurpuff,,,Machamp,,,Indeedee-Female,,,Houndoom,,,Banette
,,,,,Giratina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhyperior,,,Ribombee,,,Tyrantrum,,,Maushold,,,Ludicolo,,,Huntail,,,Barboach
,,,,,Giratina-Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotom-Mow,,,Rotom-Frost,,,Ursaring,,,Medicham,,,Lycanroc-Midday,,,Illumise,,,Basculin
,,,,,Groudon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serperior,,,Salazzle,,,Venomoth,,,Mega Houndoom,,,Magneton,,,Kabutops,,,Bastiodon
,,,,,Ho-Oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snorlax,,,Scrafty,,,Vikavolt,,,Oricorio,,,Mega Abomasnow,,,Kangaskhan,,,Bayleef
,,,,,Koraidon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steelix,,,Stakataka,,,Vileplume,,,Palossand,,,Mega Banette,,,Kecleon,,,Beartic
,,,,,Kyogre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxtricity,,,Swellow,,,Weezing,,,Pangoro,,,Mega Glalie,,,Kingler,,,Beautifly
,,,,,Kyurem-Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsareena,,,Tornadus-Incarnate,,,Yanmega,,,Passimian,,,Mega Manectric,,,Klawf,,,Beedrill
,,,,,Kyurem-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaporeon,,,Umbreon,,,Zoroark,,,Polteageist,,,Pincurchin,,,Klinklang,,,Beheeyem
,,,,,Lugia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venusaur,,,Zygarde-10%,,,,,,Rotom-Fan,,,Raichu,,,Lapras,,,Beldum
,,,,,Lunala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whimsicott,,,,,,,,,Sigilyph,,,Roselia,,,Leafeon,,,Bellossom
,,,,,Magearna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xurkitree,,,,,,,,,Skuntank,,,Runerigus,,,Leavanny,,,Bellsprout
,,,,,Marshadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staraptor,,,Sandaconda,,,Linoone,,,Bergmite
,,,,,Mega Alakazam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stunfisk,,,Sceptile,,,Lurantis,,,Bibarel
,,,,,Mega Blastoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tangela,,,Scyther,,,Mabosstiff,,,Bidoof
,,,,,Mega Blaziken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toedscruel,,,Smeargle,,,Magmortar,,,Binacle
,,,,,Mega Gengar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torterra,,,Spiritomb,,,Manectric,,,Blipbug
,,,,,Mega Kangaskhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanilluxe,,,Tatsugiri,,,Mantine,,,Blitzle
,,,,,Mega Latias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wo-Chien,,,Tauros,,,Masquerain,,,Boldore
,,,,,Mega Lucario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xatu,,,Type: Null,,,Mega Absol,,,Bombirdier
,,,,,Mega Metagross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victreebel,,,Mega Ampharos,,,Bonsly
,,,,,Mega Mewtwo X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virizion,,,Mega Audino,,,Bounsweet
,,,,,Mega Mewtwo Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mega Camerupt,,,Braixen
,,,,,Mega Rayquaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meganium,,,Bramblin
,,,,,Mega Salamence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meowstic,,,Brionne
,,,,,Mewtwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minior,,,Bronzor
,,,,,Miraidon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Misdreavus,,,Budew
,,,,,Naganadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omastar,,,Buizel
,,,,,Necrozma-Dawn-Wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orbeetle,,,Bulbasaur
,,,,,Necrozma-Dusk-Mane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthworm,,,Buneary
,,,,,Necrozma-Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paldean Tauros,,,Bunnelby
,,,,,Palkia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poliwrath,,,Burmy
,,,,,Palkia-Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primeape,,,Butterfree
,,,,,Pheromosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regice,,,Cacnea
,,,,,Primal Groudon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regigigas,,,Cacturne
,,,,,Primal Kyogre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regirock,,,Calyrex
,,,,,Rayquaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhydon,,,Camerupt
,,,,,Reshiram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandslash,,,Capsakid
,,,,,Shaymin-Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sawk,,,Carbink
,,,,,Solgaleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shiftry,,,Carkol
,,,,,Spectrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shuckle,,,Carnivine
,,,,,Unown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simipour,,,Carvanha
,,,,,Xerneas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simisage,,,Cascoon
,,,,,Yveltal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simisear,,,Castform
,,,,,Zacian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sirfetch'd,,,Caterpie
,,,,,Zacian-Crowned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sneasel,,,Cetoddle
,,,,,Zamazenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoutland,,,Charcadet
,,,,,Zamazenta-Crowned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Throh,,,Charjabug
,,,,,Zekrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thwackey,,,Charmander
,,,,,Zygarde-Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Togedemaru,,,Charmeleon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxicroak,,,Chatot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevenant,,,Cherrim
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turtonator,,,Cherubi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Typhlosion,,,Chespin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veluza,,,Chewtle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wishiwashi,,,Chikorita
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zangoose,,,Chimchar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chimecho
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinchou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chingling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clamperl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clauncher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clawitzer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clefairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleffa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clobbopus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combee
